node_id,x_coord,y_coord,zone_id
1,420112.62758,4649422.02935,1
2,421423.81005,4648646.33099,2
3,422355.41533,4649543.99472,3
4,419600.99329,4648144.08467,4
5,420521.54826,4648139.30934,5
6,419528.89491,4646906.4441,6
7,420505.38138,4646903.60369,7
8,421358.51059,4646876.04547,8
9,422149.9549,4647115.02396,9
10,419612.10924,4645712.81656,10
11,420541.61534,4645675.06989,11
12,421338.47901,4645826.76265,12
13,422270.54942,4646147.52132,13
14,419725.12812,4644300.30155,14
15,420541.60599,4644262.43073,15
16,421457.61332,4644330.25401,16
17,423618.04952,4649562.97202,17
18,424975.06722,4649555.64132,18
19,426591.17481,4649543.00652,19
20,428215.18878,4649528.68474,20
21,429926.20211,4649517.99895,21
22,423084.8773,4648322.64069,22
23,424984.04639,4648275.43551,23
24,426599.89911,4648270.7996,24
25,428217.63747,4648265.38497,25
26,429429.9574,4648261.62102,26
27,430465.6442,4648136.9146,27
28,423563.88629,4646753.38161,28
29,424986.27813,4646650.1482,29
30,426602.3964,4646652.89005,30
31,428218.08828,4646650.75166,31
32,429830.83689,4646648.84739,32
33,431129.0837,4646656.10567,33
34,422717.10914,4645137.85188,34
35,423771.09512,4645051.50582,35
36,424992.86788,4645038.2794,36
37,426607.43467,4645041.62207,37
38,428216.33122,4645035.37144,38
39,429789.76021,4645055.55554,39
40,430805.31031,4645018.53115,40
41,423149.90564,4643817.56442,41
42,423448.9006,4642863.57379,42
43,424911.61393,4642811.43462,43
44,426613.65536,4643026.23715,44
45,428215.8004,4643019.95926,45
46,429665.38096,4643184.75607,46
47,425804.08561,4641296.00752,47
48,426950.22591,4641342.18313,48
49,428269.72788,4641408.67953,49
50,412537.71519,4641899.83339,50
51,413135.45438,4641861.17039,51
52,413486.21011,4641959.59991,52
53,413639.64775,4641524.78593,53
54,412496.70893,4641068.25512,54
55,413090.54563,4641020.47565,55
56,413458.07951,4641039.92167,56
57,413884.80224,4641140.10438,57
58,420146.59065,4643070.75887,58
59,421778.39947,4642996.12153,59
60,420155.94178,4642271.0286,60
61,420182.46742,4641468.43902,61
62,421716.78878,4641870.61706,62
63,423260.30208,4642049.577,63
64,423253.73448,4641212.22296,64
65,419968.34175,4640372.69148,65
66,421276.05029,4640256.27636,66
67,422070.49747,4640254.37651,67
68,422999.22758,4640093.11801,68
69,424036.70463,4640112.6191,69
70,421405.86184,4638650.03743,70
71,422120.38095,4638650.47803,71
72,423010.18524,4638636.10505,72
73,424012.43007,4638634.41211,73
74,425022.14739,4640222.38366,74
75,425478.11287,4638274.27277,75
76,426774.67588,4638381.98381,76
77,425363.77857,4637527.33025,77
78,426016.5455,4637440.0142,78
79,426979.2869,4637433.16149,79
80,425618.98648,4636353.2523,80
81,426015.45403,4636634.75957,81
82,426857.75302,4636641.76359,82
83,425526.29581,4635133.1044,83
84,426011.55189,4635647.27849,84
85,426642.8519,4635835.5814,85
86,425547.97864,4634207.28485,86
87,425890.85739,4634392.19129,87
88,425031.6998,4633386.96354,88
89,425619.26344,4633393.18846,89
90,426370.237,4633240.50703,90
91,424362.49987,4631984.74481,91
92,425131.23704,4632092.06352,92
93,426234.87915,4632301.05521,93
94,416730.02741,4635252.226,94
95,417361.36084,4635210.31837,95
96,418099.91673,4635260.37166,96
97,416776.50082,4634450.60024,97
98,417362.49152,4634619.02734,98
99,418157.75677,4634575.29699,99
100,417315.42036,4634014.82963,100
101,418114.74675,4634001.57476,101
102,418862.76623,4634215.40496,102
103,433924.09615,4643813.45472,103
104,432113.71558,4641702.71686,104
105,432765.64035,4642500.53911,105
106,433481.46459,4642837.77684,106
107,433310.99133,4641838.82283,107
108,433885.03423,4642092.50714,108
109,434172.02478,4641663.18128,109
110,431859.15422,4641290.68899,110
111,432267.82301,4641287.71208,111
112,432702.55044,4641274.86803,112
113,433286.703,4641261.39035,113
114,433745.80385,4641233.8418,114
115,434001.67923,4641080.77745,115
116,431786.45965,4640609.39067,116
117,432249.91423,4640614.70818,117
118,432680.15382,4640610.85186,118
119,433259.93319,4640804.93326,119
120,433204.12045,4640360.239,120
121,433867.05663,4640473.25024,121
122,432225.6627,4639763.85802,122
123,432643.40015,4639796.1375,123
124,433179.08003,4639790.56242,124
125,429799.74941,4632933.14226,125
126,430136.45037,4633108.97424,126
127,430733.41113,4633262.18371,127
128,431261.28813,4633283.21529,128
129,431942.82155,4633326.5764,129
130,432707.06055,4633326.47302,130
131,429483.88283,4632568.24801,131
132,430152.28562,4632806.6648,132
133,430654.14849,4632784.08686,133
134,431120.94442,4632770.1078,134
135,431475.71618,4632651.63882,135
136,432076.14264,4632726.12527,136
137,430139.32951,4632453.97045,137
138,430640.43476,4632425.81542,138
139,431107.61913,4632302.58319,139
140,431491.17348,4632209.47044,140
141,429502.62476,4631847.12662,141
142,430132.13166,4632102.71567,142
143,430634.08247,4632082.25107,143
144,430119.17554,4631773.05442,144
145,430624.17985,4631735.14088,145
146,431088.60184,4631605.95711,146
147,431433.19246,4631581.08526,147
148,432179.63283,4632429.28811,148
149,431721.01262,4631798.09963,149
150,432031.65957,4631885.00788,150
151,432683.24764,4632349.50933,151
152,432981.93393,4632042.92063,152
153,433415.56661,4632231.3236,153
154,431730.24021,4631433.59105,154
155,432145.27522,4631398.92567,155
156,432559.4984,4631797.11668,156
157,432951.40432,4631388.29454,157
158,433541.1615,4631489.43703,158
159,429276.13723,4631006.97068,159
160,429698.98338,4631020.68319,160
161,430111.9777,4631303.755,161
162,430610.004,4631272.51333,162
163,430086.92937,4630795.21067,163
164,430559.03017,4630791.73457,164
165,431186.61523,4631139.68356,165
166,431105.98074,4630795.18716,166
167,431686.51649,4630853.68364,167
168,432201.35474,4630895.89021,168
169,432591.12985,4630883.30148,169
170,432908.43264,4630845.35703,170
171,433447.72753,4630846.83764,171
172,429440.4292,4630127.75753,172
173,430067.05444,4630108.84187,173
174,430551.95093,4630113.45568,174
175,431095.05495,4630358.04667,175
176,431056.22262,4629966.27121,176
177,431695.58616,4630213.7523,177
178,430528.68519,4629455.15742,178
179,431093.86744,4629559.50166,179
180,431762.67501,4629572.98907,180
181,432402.36208,4629944.75064,181
182,432974.48748,4629891.92529,182
183,430517.56061,4629051.20819,183
184,430105.54337,4628602.7096,184
185,430100.17359,4628080.911,185
186,430612.06996,4628370.56758,186
187,431057.38214,4628986.54003,187
188,431533.59481,4629065.82857,188
189,431973.74261,4629082.14227,189
190,432425.69035,4629090.14329,190
191,431551.29735,4628657.95373,191
192,431963.722,4628665.65384,192
193,432488.57337,4628702.95713,193
194,430939.03467,4628239.85995,194
195,431418.66124,4628194.8304,195
196,431839.47271,4628128.82681,196
197,432253.93047,4627895.46085,0
198,432477.16854,4628142.35183,0
199,433000.85462,4628316.93325,198
200,433651.30316,4628941.04968,199
201,430228.0061,4627578.86395,200
202,430916.38571,4627481.33344,201
203,431356.46608,4627593.69649,202
204,431753.49214,4627612.68973,0
205,431604.27506,4627468.13924,0
206,432138.31193,4627565.02903,204
207,432544.7708,4627550.98116,205
208,433150.34059,4627627.4274,206
209,433900.44599,4627857.728,207
210,429933.41923,4626933.50025,208
211,430464.43544,4626922.51461,209
212,430894.3837,4626834.15033,0
213,431410.27572,4627181.03803,211
214,431368.55607,4626720.0953,0
215,431858.10809,4626928.89639,0
216,432241.16425,4626907.74953,214
217,432780.7781,4627151.59658,215
218,433544.78779,4627113.95915,216
219,432800.9352,4626740.59374,0
220,432030.73394,4626184.40995,0
221,429969.80932,4626289.19427,219
222,429952.03983,4625745.36162,220
223,430503.84677,4625992.76582,221
224,430843.09963,4626007.27638,0
225,431275.67352,4626113.09067,0
226,431397.47348,4625675.09168,225
227,431789.21649,4625719.14649,226
228,432255.28169,4625712.92955,227
229,432809.65121,4625926.95449,0
230,433554.2419,4626716.07949,229
231,433550.69679,4626106.87772,230
232,435069.86574,4626525.14192,231
233,429865.57336,4625159.45068,232
234,430485.11569,4625153.79493,233
235,430881.33786,4625101.00683,0
236,431082.74287,4625269.90031,0
237,431376.88036,4625122.61555,235
238,431783.80643,4625108.41282,236
239,432187.57308,4625106.78748,237
240,432814.55455,4625100.39249,238
241,433602.53158,4625281.30962,239
242,434744.0349,4625276.46075,240
243,430474.4616,4624641.69586,241
244,430896.9268,4624423.49057,242
245,431341.74265,4624404.59969,243
246,431757.07232,4624400.74845,244
247,432165.32129,4624391.63956,245
248,432751.07464,4624624.40984,246
249,432726.44446,4624247.87199,247
250,433536.01834,4624678.31538,248
251,433535.07384,4624278.03756,249
252,434136.46398,4624676.72741,250
253,434123.88658,4624276.33763,251
254,434886.22761,4624512.47641,252
255,430879.75645,4623686.66794,253
256,431309.55193,4623696.08596,254
257,431726.60687,4623692.63999,255
258,432139.80163,4623680.98616,256
259,432765.83595,4623666.37562,257
260,433508.61075,4623721.97953,258
261,434334.8101,4623876.62573,259
262,435165.01855,4623953.48842,260
263,425129.1165,4626867.46602,261
264,426410.66342,4626318.47497,262
265,426936.88816,4626982.23292,263
266,428763.72854,4626909.63503,264
267,427440.97708,4625605.61835,265
268,422921.35778,4625937.43934,266
269,425040.78165,4625880.92844,267
270,423024.32964,4624620.9051,268
271,425048.22708,4624463.84958,269
272,426326.277,4624808.1221,270
273,426461.49889,4623488.19535,271
274,427549.58265,4624819.62817,272
275,428442.52972,4625225.01757,273
276,429124.70348,4625187.7778,274
277,428432.97274,4624492.29595,275
278,429131.74849,4624483.27701,276
279,429659.65539,4624467.00881,277
280,430069.35743,4624455.18117,278
281,430461.18959,4624228.81354,279
282,427547.99973,4623810.82766,280
283,428411.37848,4623668.65259,281
284,429129.40015,4623659.01108,282
285,429664.64655,4623640.39816,283
286,430048.45702,4623628.89689,284
287,430446.91945,4623616.17792,285
288,430837.5738,4623282.33518,286
289,431290.26102,4623285.2566,287
290,431706.54339,4623278.05851,288
291,432128.5263,4623264.03703,289
292,432701.58975,4623230.06779,290
293,433240.88856,4623212.10026,291
294,433727.7192,4623365.26985,292
295,434155.95311,4623466.35663,293
296,434161.18226,4623115.51782,294
297,434858.52484,4623367.93281,295
298,427564.53222,4622871.89498,296
299,428383.69903,4622851.5698,297
300,429084.78177,4622839.44183,298
301,429610.99506,4622830.91441,299
302,430010.85321,4622715.40053,0
303,430034.15785,4623137.8064,0
304,430424.22437,4623017.67838,301
305,430424.19231,4622605.48916,302
306,430853.35906,4623010.15795,303
307,430842.66634,4622601.35722,304
308,431272.58865,4622934.93434,305
309,431276.53626,4622525.50857,306
310,431694.25418,4622943.8093,307
311,431682.33717,4622526.55402,308
312,432122.54328,4622929.9477,309
313,432106.64045,4622522.53342,310
314,432683.83601,4622802.36981,311
315,432935.12758,4622494.23322,312
316,433319.15152,4622931.86727,313
317,433319.88437,4622565.84278,314
318,433320.45211,4622357.09948,315
319,433710.49293,4623023.08635,316
320,433724.68685,4622526.70306,317
321,434372.38907,4622575.78646,318
322,425995.92996,4621643.42035,319
323,427275.01125,4622011.93396,320
324,427821.43804,4622280.79329,321
325,428318.21687,4621949.72468,322
326,429070.69175,4622029.26593,323
327,429570.4547,4621993.45395,324
328,429972.15672,4622149.30791,0
329,429974.61484,4621743.26618,0
330,430355.62789,4622171.73358,326
331,430318.86532,4621776.73506,327
332,430561.48187,4622164.75275,328
333,430515.60917,4621717.2137,329
334,430828.06949,4622068.14659,330
335,430812.80451,4621556.02222,331
336,431260.00892,4622056.64833,332
337,431243.66286,4621544.96716,333
338,431688.2956,4622040.6313,334
339,431564.36279,4621535.81164,0
340,431775.20918,4621530.17566,0
341,432012.88878,4622246.38374,0
342,432004.49051,4622052.08047,0
343,432213.59309,4622046.18259,0
344,432223.23435,4622253.57446,0
345,432101.59198,4621838.89991,338
346,431989.478,4621525.62887,339
347,432721.74264,4622028.3517,340
348,433251.38139,4622159.27374,341
349,433223.77035,4621881.92487,342
350,433566.67149,4622159.81818,343
351,433535.54462,4621872.68826,344
352,434227.28855,4621950.781,345
353,427262.56529,4621251.45309,346
354,427924.56856,4621205.93839,347
355,428342.60311,4621348.77997,348
356,428349.23977,4620933.85001,349
357,428937.03327,4621349.95459,350
358,428957.29397,4620939.72472,351
359,429551.50769,4621377.37237,352
360,429534.9704,4620961.86991,353
361,429913.69719,4621402.01351,0
362,430050.79372,4621262.70817,0
363,429828.31976,4620952.29214,0
364,430040.7507,4620946.18633,0
365,430277.02586,4621386.72995,356
366,430254.10337,4620939.37959,357
367,430483.54932,4621343.47247,358
368,430470.2882,4620932.54976,359
369,430679.4856,4621256.44983,360
370,430687.85836,4620925.65658,361
