link_id,name,from_node_id,to_node_id,directed,length,facility_type,capacity,geometry
1_2070,,1,2070,2,0.63722,,0,"LINESTRING (420112.627577 4649422.02935, 420927.959466 4648800.63072)"
2_2071,,2,2071,2,0.72331,,0,"LINESTRING (421423.810048 4648646.33099, 421406.02289 4647482.83534)"
3_1171,,3,1171,2,1.29217,,0,"LINESTRING (422355.415326 4649543.99472, 422166.437416 4647473.81511)"
3_2069,,3,2069,2,0.94732,,0,"LINESTRING (422355.415326 4649543.99472, 420909.509806 4650025.60884)"
4_1994,,4,1994,2,0.39404,,0,"LINESTRING (419600.993288 4648144.08467, 419575.656716 4647510.67403)"
5_2032,,5,2032,2,0.40198,,0,"LINESTRING (420521.548264 4648139.30934, 420498.775777 4647493.01124)"
6_1988,,6,1988,2,0.47506,,0,"LINESTRING (419528.894914 4646906.4441, 419045.357586 4646314.58291)"
6_1994,,6,1994,2,0.37671,,0,"LINESTRING (419528.894914 4646906.4441, 419575.656716 4647510.67403)"
7_1170,,7,1170,2,0.27625,,0,"LINESTRING (420505.381378 4646903.60369, 420949.008253 4646930.09598)"
8_1170,,8,1170,2,0.25675,,0,"LINESTRING (421358.510593 4646876.04547, 420949.008253 4646930.09598)"
9_1171,,9,1171,2,0.22326,,0,"LINESTRING (422149.954899 4647115.02396, 422166.437416 4647473.81511)"
10_2064,,10,2064,2,0.51043,,0,"LINESTRING (419612.10924 4645712.81656, 420140.385753 4645084.1259)"
11_1021,,11,1021,2,0.25049,,0,"LINESTRING (420541.615336 4645675.06989, 420944.351713 4645660.90221)"
12_1021,,12,1021,2,0.2658,,0,"LINESTRING (421338.47901 4645826.76265, 420944.351713 4645660.90221)"
13_2066,,13,2066,2,0.42472,,0,"LINESTRING (422270.54942 4646147.52132, 421759.667175 4645693.79166)"
14_2064,,14,2064,2,0.55137,,0,"LINESTRING (419725.128125 4644300.30155, 420140.385753 4645084.1259)"
15_1177,,15,1177,2,0.24909,,0,"LINESTRING (420541.605993 4644262.43073, 420941.307577 4644233.76116)"
16_1177,,16,1177,2,0.32649,,0,"LINESTRING (421457.613319 4644330.25401, 420941.307577 4644233.76116)"
17_2530,,17,2530,2,0.34641,,0,"LINESTRING (423618.049523 4649562.97202, 424175.327974 4649558.96301)"
18_1559,,18,1559,2,0.49985,,0,"LINESTRING (424975.067218 4649555.64132, 425779.191847 4649555.52391)"
18_1805,,18,1805,2,0.28592,,0,"LINESTRING (424975.067218 4649555.64132, 424976.007331 4649095.67087)"
19_1559,,19,1559,2,0.50479,,0,"LINESTRING (426591.174809 4649543.00652, 425779.191847 4649555.52391)"
19_1777,,19,1777,2,0.50935,,0,"LINESTRING (426591.174809 4649543.00652, 427410.395563 4649525.31051)"
19_1804,,19,1804,2,0.2851,,0,"LINESTRING (426591.174809 4649543.00652, 426593.626877 4649084.35202)"
20_1777,,20,1777,2,0.50027,,0,"LINESTRING (428215.188776 4649528.68474, 427410.395563 4649525.31051)"
20_1812,,20,1812,2,0.28372,,0,"LINESTRING (428215.188776 4649528.68474, 428220.334311 4649072.28921)"
21_1785,,21,1785,2,0.28829,,0,"LINESTRING (429926.202111 4649517.99895, 429832.308477 4649063.81928)"
21_1993,,21,1993,2,0.62811,,0,"LINESTRING (429926.202111 4649517.99895, 429023.844335 4649972.72946)"
22_1164,,22,1164,2,0.56417,,0,"LINESTRING (423084.877298 4648322.64069, 423374.746034 4647462.55696)"
23_1185,,23,1185,2,0.50844,,0,"LINESTRING (424984.046387 4648275.43551, 424987.679938 4647457.48291)"
23_1791,,23,1791,2,0.49806,,0,"LINESTRING (424984.046387 4648275.43551, 424182.803646 4648279.91005)"
23_1800,,23,1800,2,0.50277,,0,"LINESTRING (424984.046387 4648275.43551, 425792.875993 4648271.31765)"
