stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
100,,Intermodal Transit Center,,41.740696,-111.830901,,,1,,,
101,,150 East 500 North(Transit Center),,41.740788,-111.830626,,,0,100,,
102,,150 East 500 North(Transit Center),,41.740795,-111.831046,,,0,100,,
103,,150 East 500 North(Transit Center),,41.740466,-111.830677,,,0,100,,
104,,150 East 500 North(Transit Center),,41.740662,-111.830509,,,0,100,,
105,,150 East 500 North(Transit Center),,41.740795,-111.830792,,,0,100,,
106,,150 East 500 North(Transit Center),,41.740520,-111.8309600,,,0,100,,
107,,150 East 500 North(Transit Center),,41.740637,-111.831287,,,0,100,,
108,,150 East 500 North(Transit Center),,41.740562,-111.830729,,,0,100,,
109,,150 East 500 North(Transit Center),,41.740665,-111.831528,,,0,100,,
110,,150 East 500 North(Transit Center),,41.740433,-111.830876,,,0,100,,
111,,150 East 500 North(Transit Center),,41.740514,-111.830568,,,0,100,,
112,,150 East 500 North(Transit Center),,41.740728,-111.831389,,,0,100,,
113,,150 East 500 North(Transit Center),,41.740816,-111.831270,,,0,100,,
1000,,310 East 500 North,,41.740743,-111.826608,,,0,,,
1001,,508 East 500 North,,41.740659,-111.821501,,,0,,,
1002,,590 North 600 East,,41.742373,-111.819116,,,0,,,
1003,,710 North 600 East,,41.744769,-111.819049,,,0,,,
1004,,850 North 600 East(The Factory),,41.747435,-111.818969,,,0,,,
1005,,640 East 1000 North(Bridgerland Apts),,41.749788,-111.818318,,,0,,,
1006,,720 East 1000 North(Sinclair Station),,41.750063,-111.815849,,,0,,,
1007,,902 East 700 North(Distance Education),,41.744348,-111.810265,,,0,,,
1009,,890 North 1200 East(Forestry Dept ),,41.7472,-111.80424,,,0,,,
1010,,1110 North 1200 East(Aggie Village),,41.751610,-111.8043600,,,0,,,
1011,,1210 East 1400 North(Foothill Market),,41.757100,-111.8036400,,,0,,,
1012,,1450 East 1500 North(Church/End Stop),,41.758349,-111.79794,,,0,,,
1013,,1574 East 1500 North,,41.758353,-111.795388,,,0,,,
1014,,1295 North 1600 East(Across from church/park),,41.75494,-111.794682,,,0,,,
1015,,1225 North 1600 East,,41.753176,-111.794656,,,0,,,
1016,,1075 North 1600 East,,41.750637,-111.794635,,,0,,,
1017,,989 North 1500 East(Hillcrest Elem Field),,41.748992,-111.796928,,,0,,,
1018,,1500 East Maple Drive,,41.74539,-111.796882,,,0,,,
1019,,1250 East 700 North,,41.744400,-111.8031800,,,0,,,
1020,,1071 East 700 North(Richards Hall),,41.744480,-111.8072200,,,0,,,
1021,,903 East 700 North(Education Bldg),,41.744560,-111.8109800,,,0,,,
