link_id,from_node_id,to_node_id,facility_type,dir_flag,directed_route_id,link_type,link_type_name,length,lanes,capacity,free_speed,cost,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_penalty1,geometry,VDF_allowed_uses1,agency_name,stop_sequence,directed_service_id
1000001,1500003,1500004,bus,1,10.1,1,service_links,511.7096923882587,57,999999,30.671909633661862,0,1.0,56999943,0.15,4,0,"LINESTRING (-111.859293 41.740404, -111.859008 41.745001)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,8,10.1:8;9;10;11;12;13;14;15;16;17;18;19;20
1000002,1500004,1500005,bus,1,10.1,1,service_links,779.9561769676385,57,999999,46.75061999806026,0,1.0,56999943,0.15,4,0,"LINESTRING (-111.859008 41.745001, -111.858826 41.752014)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,9,10.1:8;9;10;11;12;13;14;15;16;17;18;19;20
1000003,1500005,1500006,bus,1,10.1,1,service_links,511.4872434704001,57,999999,30689.234608224004,0,0.0,56999943,0.15,4,0,"LINESTRING (-111.858826 41.752014, -111.858703 41.756613)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,10,10.1:8;9;10;11;12;13;14;15;16;17;18;19;20
1000004,1500006,1500007,bus,1,10.1,1,service_links,522.3734096291874,57,999999,31.311093484266983,0,1.0,56999943,0.15,4,0,"LINESTRING (-111.858703 41.756613, -111.852592 41.757748)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,11,10.1:8;9;10;11;12;13;14;15;16;17;18;19;20
1000005,1500007,1500008,bus,1,10.1,1,service_links,299.5755365933972,57,999999,17.956575619983848,0,1.0,56999943,0.15,4,0,"LINESTRING (-111.852592 41.757748, -111.84981 41.75603)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,12,10.1:8;9;10;11;12;13;14;15;16;17;18;19;20
1000006,1500008,1500009,bus,1,10.1,1,service_links,809.1304533611562,57,999999,24.261782709479945,0,2.0,56999943,0.15,4,0,"LINESTRING (-111.84981 41.75603, -111.849392 41.74876)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,13,10.1:8;9;10;11;12;13;14;15;16;17;18;19;20
1000007,1500009,1500010,bus,1,10.1,1,service_links,549.3049674876106,57,999999,16.470913567844395,0,2.0,56999943,0.15,4,0,"LINESTRING (-111.849392 41.74876, -111.84941 41.74382)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,14,10.1:8;9;10;11;12;13;14;15;16;17;18;19;20
1000008,1500010,1500011,bus,1,10.1,1,service_links,513.5281779294608,57,999999,30.78090976600165,0,1.0,56999943,0.15,4,0,"LINESTRING (-111.84941 41.74382, -111.84886 41.73922)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,15,10.1:8;9;10;11;12;13;14;15;16;17;18;19;20
1000009,1500011,1500012,bus,1,10.1,1,service_links,263.90875646608737,57,999999,15.81870668128396,0,1.0,56999943,0.15,4,0,"LINESTRING (-111.84886 41.73922, -111.84568 41.73917)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,16,10.1:8;9;10;11;12;13;14;15;16;17;18;19;20
1000010,1500012,1500013,bus,1,10.1,1,service_links,316.4815144626185,57,999999,18.9699209468103,0,1.0,56999943,0.15,4,0,"LINESTRING (-111.84568 41.73917, -111.841867 41.739095)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,17,10.1:8;9;10;11;12;13;14;15;16;17;18;19;20
1000011,1500013,1500002,bus,1,10.1,1,service_links,463.66742351672667,57,999999,27.79225315784576,0,1.0,56999943,0.15,4,0,"LINESTRING (-111.841867 41.739095, -111.836282 41.738953)",w_bus_only;w_bus_metro;d_bus_only;d_bus_metro,Cache Valley Transit District,18,10.1:8;9;10;11;12;13;14;15;16;17;18;19;20
