name,node_id,physical_node_id,x_coord,y_coord,route_type,route_id,node_type,directed_route_id,directed_service_id,zone_id,agency_name,geometry,terminal_flag,ctrl_type,agent_type
7503601,1000001,1000001,-111.830729,41.740475,3,5714,stop,,,,CVTD Cache Valley Transit District,POINT (-111.830729 41.740475),1,,
7503602,1000002,1000002,-111.795396,41.75839,3,5714,stop,,,,CVTD Cache Valley Transit District,POINT (-111.795396 41.75839),0,,
7504414,1000003,1000003,-111.813934,41.760289,3,5715,stop,,,,CVTD Cache Valley Transit District,POINT (-111.813934 41.760289),0,,
7504862,1000004,1000004,-111.830626,41.740788,3,5715,stop,,,,CVTD Cache Valley Transit District,POINT (-111.830626 41.740788),1,,
7505312,1000005,1000005,-111.814032,41.751392,3,5715,stop,,,,CVTD Cache Valley Transit District,POINT (-111.814032 41.751392),0,,
7505649,1000006,1000006,-111.831052,41.740808,3,5716,stop,,,,CVTD Cache Valley Transit District,POINT (-111.831052 41.740808),1,,
7506235,1000007,1000007,-111.827586,41.731183,3,5716,stop,,,,CVTD Cache Valley Transit District,POINT (-111.827586 41.731183),0,,
7506835,1000008,1000008,-111.83386,41.776778,3,5739,stop,,,,CVTD Cache Valley Transit District,POINT (-111.83386 41.776778),0,,
7506836,1000009,1000009,-111.830545,41.74064,3,5715,stop,,,,CVTD Cache Valley Transit District,POINT (-111.830545 41.74064),1,,
7507542,1000010,1000010,-111.830962,41.783154,3,5718,stop,,,,CVTD Cache Valley Transit District,POINT (-111.830962 41.783154),0,,
7507813,1000011,1000011,-111.823178,41.775477,3,5718,stop,,,,CVTD Cache Valley Transit District,POINT (-111.823178 41.775477),0,,
7509446,1000012,1000012,-111.831139,41.740459,3,5738,stop,,,,CVTD Cache Valley Transit District,POINT (-111.831139 41.740459),1,,
7511256,1000013,1000013,-111.831877,41.761181,3,5722,stop,,,,CVTD Cache Valley Transit District,POINT (-111.831877 41.761181),0,,
7511617,1000014,1000014,-111.836353,41.710152,3,5731,stop,,,,CVTD Cache Valley Transit District,POINT (-111.836353 41.710152),0,,
7518680,1000015,1000015,-111.830257,41.739051,3,5739,stop,,,,CVTD Cache Valley Transit District,POINT (-111.830257 41.739051),0,,
7518681,1000016,1000016,-111.83652,41.739173,3,5739,stop,,,,CVTD Cache Valley Transit District,POINT (-111.83652 41.739173),0,,
7518682,1000017,1000017,-111.840095,41.735929,3,5721,stop,,,,CVTD Cache Valley Transit District,POINT (-111.840095 41.735929),0,,
7518696,1000018,1000018,-111.850888,41.724195,3,5721,stop,,,,CVTD Cache Valley Transit District,POINT (-111.850888 41.724195),0,,
7518697,1000019,1000019,-111.848541,41.724143,3,5721,stop,,,,CVTD Cache Valley Transit District,POINT (-111.848541 41.724143),0,,
7518698,1000020,1000020,-111.842913,41.724451,3,5742,stop,,,,CVTD Cache Valley Transit District,POINT (-111.842913 41.724451),0,,
7518699,1000021,1000021,-111.845389,41.728006,3,5721,stop,,,,CVTD Cache Valley Transit District,POINT (-111.845389 41.728006),0,,
7518700,1000022,1000022,-111.845327,41.729879,3,5721,stop,,,,CVTD Cache Valley Transit District,POINT (-111.845327 41.729879),0,,
7518701,1000023,1000023,-111.845132,41.735042,3,5721,stop,,,,CVTD Cache Valley Transit District,POINT (-111.845132 41.735042),0,,
7518702,1000024,1000024,-111.839979,41.735948,3,5721,stop,,,,CVTD Cache Valley Transit District,POINT (-111.839979 41.735948),0,,
7518703,1000025,1000025,-111.836284,41.738996,3,5734,stop,,,,CVTD Cache Valley Transit District,POINT (-111.836284 41.738996),0,,
